Ano,Fase,Questão,Link
2021,Fase 3,Casamento de inteiros,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/casamento/
2021,Fase 3,Cubo e quadrado,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/cubo/
2021,Fase 3,Dona Minhoca,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/minhoca/
2021,Fase 3,Falha de segurança,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/falha/
2021,Fase 3,Festa olímpica,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/festa/
2021,Fase 2,Cálculo rápido,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/calculo/
2021,Fase 2,Lista palíndroma,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/lista/
2021,Fase 2,Média ou mediana,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/media/
2021,Fase 2,Passatempo,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/passatempo/
2021,Fase 2,Poligrama,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/poligrama/
2021,Fase 2,Retângulo,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/retangulo/
2021,Fase 2,Sanduíche,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/sanduiche/
2021,Fase 2,Senha da Vó Zinha,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/senha/
2021,Fase 1,Cifra da Nlogônia,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/cifra/
2021,Fase 1,Idade de Camila,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/idade/
2021,Fase 1,Tempo de resposta,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/tempo/
2021,Fase 1,Zero para cancelar,https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/zero/
2020,Fase 3,Atlanta,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/atlanta/
2020,Fase 3,Candidatas,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/candidatas/
2020,Fase 3,Jogo do Preto e Branco,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/jogo/
2020,Fase 3,Rede social,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/rede/
2020,Fase 3,Trem da mina,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/trem/
2020,Fase 2,Dona Formiga,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f2/formiga/
2020,Fase 2,Estrada,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f2/estrada/
2020,Fase 2,Fotografia,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f2/fotografia/
2020,Fase 2,Quebra-cabeças,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f2/quebra/
2020,Fase 1,Acelerador de partículas,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/acelerador/
2020,Fase 1,Camisetas da Olimpíada,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/camisetas/
2020,Fase 1,Fissura Perigosa,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/fissura/
2020,Fase 1,Irmãos,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/irmaos/
2020,Fase 1,Pandemia,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/pandemia/
2020,Fase 1,Promoção de Primeira,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/promocao/
2020,Fase 1,Ralouim,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/ralouim/
2020,Fase 1,Três por Dois,https://olimpiada.ic.unicamp.br/pratique/p2/2020/f1/3por2/
2019,Fase 3,Etiquetas,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f3/etiquetas/
2019,Fase 3,Exploração do Capitão Levi,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f3/exploracao/
2019,Fase 3,Grand Prix da Nlogônia,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f3/prix/
2019,Fase 3,Mesa redonda,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f3/mesa/
2019,Fase 3,Metrô da Nlogônia,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f3/metro/
2019,Fase 2,Detetive,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f2/detetive/
2019,Fase 2,Matriz super-legal,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f2/matriz/
2019,Fase 2,Supermercado,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f2/supermercado/
2019,Fase 1,A idade de Dona Mônica,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f1/idade/
2019,Fase 1,Calçada Imperial,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f1/imperial/
2019,Fase 1,Chuva,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f1/chuva/
2019,Fase 1,Soma,https://olimpiada.ic.unicamp.br/pratique/p2/2019/f1/soma/
2018,Fase 3,Baldes,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f3/baldes/
2018,Fase 3,Bolas,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f3/bolas/
2018,Fase 3,Cinco,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f3/cinco/
2018,Fase 3,Mancha,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f3/mancha/
