URL,Dificuldade,Assunto,Subassunto,Tópico,Prova
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/casamento/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Algoritmos gulosos,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/cubo/,Médio,Fundamentos de Matemática,Conceitos de Aritmética e Geometria,Números inteiros,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/minhoca/,Difícil,Algoritmos e Estruturas de Dados,Algoritmos em Grafos,Busca em Profundidade (DFS),P2
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/falha/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Algoritmos de força-bruta,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/festa/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Simulação,P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/calculo/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Algoritmos de força-bruta,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/lista/,Difícil,Algoritmos e Estruturas de Dados,Programação Dinâmica,Programação Dinâmica em intervalos de vetores/matrizes,P2
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/media/,Médio,Fundamentos de Matemática,Conceitos de Matemática Discreta,Números inteiros,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/passatempo/,Difícil,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Programação Dinâmica,P2
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/poligrama/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Backtracking simples (busca exaustiva recursiva),P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/retangulo/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Algoritmos gulosos,P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/sanduiche/,Difícil,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Backtracking,P2
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/senha/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Backtracking simples (busca exaustiva recursiva),P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/cifra/,Fácil,Fundamentos de Computação,Programação,Estruturas de repetição simples e encadeadas,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/idade/,Fácil,Fundamentos de Computação,Programação,Estruturas condicionais simples e compostas,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/tempo/,Médio,Algoritmos e Estruturas de Dados,Estruturas de Dados,Pilha,P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f1/zero/,Fácil,Fundamentos de Computação,Programação,Estruturas de repetição simples e encadeadas,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/atlanta/,Médio,Fundamentos de Matemática,Conceitos de Matemática Discreta,Argumentos de contagem,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/candidatas/,Difícil,Algoritmos e Estruturas de Dados,Algoritmos de Matemática,Máximo Divisor Comum (MDC) e Subsequências,P2
https://olimpiada.ic.unicamp.br/pratique/p2/2020/f3/jogo/,Médio,Algoritmos e Estruturas de Dados,Estratégias de Algoritmos,Backtracking,P1
